Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
Teck Resources (Diversified mining),Canada,CAN,Diversified Mining,Yes,medium,CA8787422044,2879327,01/12/2018,28/09/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Tenaga Nasional,Malaysia,MYS,Electricity Utilities,No,large,MYL5347OO009,6904612,01/07/2018,27/04/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Not applicable,No,No,No,No,No
Tenaris,Italy,ITA,Steel,No,large,LU0156801721,7538515,01/09/2018,22/12/2017,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Tesla,United States of America,USA,Autos,No,large,US88160R1014,B616C79,01/11/2018,14/12/2017,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ThyssenKrupp,Germany,DEU,Steel,Yes,large,DE0007500001,5636927,01/09/2018,05/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Toray Industries,Japan,JPN,Chemicals,Yes,large,JP3621000003,6897143,01/12/2018,29/03/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,No,No,Yes,No,No
Total,France,FRA,Oil & Gas,Yes,large,FR0000120271,B15C557,01/07/2018,09/05/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Toyota,Japan,JPN,Autos,Yes,large,JP3633400001,6900643,01/11/2018,08/02/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Trane Technologies,United States of America,USA,Other Industrials,Yes,large,IE00B6330302,B633030,01/12/2018,30/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Turkish Airlines,Turkey,TUR,Airlines,No,medium,TRATHYAO91M5,B03MYK0,01/02/2019,06/03/2018,1,new,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not applicable,No,No,No,No,No
UACJ,Japan,JPN,Aluminium,No,small,JP3826900007,B0N9WZ2,01/02/2019,07/06/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not applicable,No,No,No,No,No
