Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Anhui Conch Cement,China,CHN,Cement,Yes,large,"CNE1000001W2, CNE0000019V8","6080396, 6441595, BP3R2Z1",01/10/2020,20/09/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Anhui Conch Cement,China,CHN,Cement,Yes,large,"CNE1000001W2, CNE0000019V8","6080396, 6441595, BP3R2Z1",01/09/2019,30/09/2018,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/10/2020,05/12/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/09/2019,31/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Arconic,United States of America,USA,Aluminium,No,medium,US03965L1008,BD3D9G5,01/02/2020,18/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
Asahi Kasei,Japan,JPN,Chemicals,No,large,JP3111200006,6054603,01/02/2021,16/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Asahi Kasei,Japan,JPN,Chemicals,No,large,JP3111200006,6054603,01/02/2020,23/04/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Asia Cement,Taiwan,TWN,Cement,No,large,TW0001102002,6056331,01/02/2021,20/02/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,Yes,No,No,No
Asia Cement,Taiwan,TWN,Cement,No,large,TW0001102002,6056331,01/02/2020,02/04/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
Astra International,Indonesia,IDN,Coal Mining,No,large,ID1000122807,B800MQ5,01/10/2020,31/03/2020,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Azul,Brazil,BRA,Airlines,No,medium,BRAZULACNPR4,BD97PR4,01/12/2020,11/07/2019,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Azul,Brazil,BRA,Airlines,No,medium,BRAZULACNPR4,BD97PR4,01/12/2019,18/04/2019,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
BASF,Germany,DEU,Chemicals,Yes,large,DE000BASF111,"5086577, 0083142, 5086599",01/10/2020,06/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
BASF,Germany,DEU,Chemicals,Yes,large,DE000BASF111,"5086577, 0083142, 5086599",01/09/2019,26/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
BBMG,China,CHN,Cement,No,medium,"CNE100000F20, CNE1000010M4","B3NFC51, B3NBFQ1, BP3R5N0",01/02/2021,28/09/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,not found,not found,01/10/2020,17/12/2019,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,not found,not found,01/09/2019,01/04/2019,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BHP (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,not found,not found,01/10/2020,17/12/2019,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,Germany,DEU,Autos,Yes,large,"DE0005190003, DE0005190037","5756029, 5756030",01/10/2020,24/07/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,Germany,DEU,Autos,Yes,large,"DE0005190003, DE0005190037","5756029, 5756030",01/09/2019,26/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/10/2020,31/03/2020,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/09/2019,29/03/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
BYD,China,CHN,Autos,No,large,"CNE100000296, CNE100001526","6536651, B466322, BD5CQ69",01/12/2020,05/09/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Banpu,Thailand,THA,Coal Mining,No,medium,"TH0148A10Z06, DummyISINPU5, DummyISINPU4","BJFHBV6, BKWGX17, BKWGWJ8, BD2YHY3",01/10/2020,05/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
Banpu,Thailand,THA,Coal Mining,No,medium,"TH0148A10Z06, DummyISINPU5, DummyISINPU4","BJFHBV6, BKWGX17, BKWGWJ8, BD2YHY3",01/09/2019,22/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Bayer,Germany,DEU,Services,Yes,large,DE000BAY0017,"5069211, 5069459",01/10/2020,23/07/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Bayer,Germany,DEU,Services,Yes,large,DE000BAY0017,"5069211, 5069459",01/09/2019,24/09/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No
Berkshire Hathaway (Services),United States of America,USA,Services,Yes,large,"US0846701086, US0846707026","2093666, 2073390",01/10/2020,16/03/2020,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Berkshire Hathaway (Services),United States of America,USA,Services,Yes,large,"US0846701086, US0846707026","2093666, 2073390",01/09/2019,25/02/2019,0,down,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/10/2020,25/03/2020,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/10/2020,06/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Not applicable,Yes,Yes,No,No,No,No
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/09/2019,21/08/2018,2,up,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Not applicable,No,No,No,Yes,No,No
Boeing,United States of America,USA,Other Industrials,Yes,large,US0970231058,2108601,01/10/2020,12/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,No,No,No,No,No
Boeing,United States of America,USA,Other Industrials,Yes,large,US0970231058,2108601,01/09/2019,08/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,No,No,No,No,No
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/10/2020,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,No,No,Yes,No,No
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/09/2019,17/09/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,No,Yes,No,No
Brenntag,Germany,DEU,Chemicals,No,medium,DE000A1DAHH0,B4YVF56,01/02/2021,18/10/2019,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Brilliance,China,CHN,Autos,No,large,BMG1368B1028,6181482,01/12/2020,21/08/2019,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brilliance,China,CHN,Autos,No,large,BMG1368B1028,6181482,01/12/2019,18/10/2018,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/10/2020,27/11/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/09/2019,01/04/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bumi,Indonesia,IDN,Coal Mining,Yes,small,ID1000068703,6043485,01/10/2020,24/03/2020,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Bumi,Indonesia,IDN,Coal Mining,Yes,small,ID1000068703,6043485,01/09/2019,30/04/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bunge,United States of America,USA,Consumer Goods,Yes,medium,BMG169621056,2788713,01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,No,No,Yes,No
Bunge,United States of America,USA,Consumer Goods,Yes,medium,BMG169621056,2788713,01/09/2019,22/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
